run_name,model_size,context_length,mode,dtype,batch_size,tool,trace_file_local_name,stage_range,report,rank,category,name,time_percent,total_time_ns,calls_or_instances,avg_ns,measured_step_seconds,status
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_...,7.2,14192397,216,65705.5,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",6.7,13191365,288,45803.4,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,other,cudaLaunchKernel,47.9,478277377,20258,23609.3,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,other,cudaMalloc,24.1,240926307,166,1451363.3,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaDeviceSynchronize,18.4,183779009,5,36755801.8,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,copy/concat,cudaMemcpyAsync,4.8,47900838,268,178734.5,0.1183997318148613,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,Nsight Systems CLI stats,small_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cuLibraryLoadData,1.4,14305319,4,3576329.8,0.1183997318148613,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,1,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",12.2,50309102,288,174684.4,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,2,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::BinaryFunctor[float, float...",9.8,40598235,1176,34522.3,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,3,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::CUDAFunctor_add[float], st...",7.9,32460504,4050,8014.9,0.11783360876142979,OK
