model_size,context_length,mode,tool,stage_marker,forward_mean_ms_reference,backward_mean_ms_reference,optimizer_mean_ms_reference,kernel_summary_file,top_kernel_calls,top_kernel_time,matmul_time,softmax_time,attention_substages_marked_in_code,phase_duration_note
large,256,train_step,nsys,measure@profile,120.55958146229386,252.68139708787203,43.734777346253395,results/nsys/large_train_step_ctx256_nsys_stats.csv,217,32869120.0,148916217.0,58976.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
large,512,train_step,nsys,measure@profile,120.55958146229386,252.68139708787203,43.734777346253395,results/nsys/large_train_step_ctx512_nsys_stats.csv,108,64568236.0,284889673.0,120639.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
large,1024,train_step,nsys,measure@profile,120.55958146229386,252.68139708787203,43.734777346253395,results/nsys/large_train_step_ctx1024_nsys_stats.csv,181,141592662.0,570494699.0,232829.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
xl,256,train_step,nsys,measure@profile,329.7265219502151,717.3985060304403,122.79305113479495,results/nsys/xl_train_step_ctx256_nsys_stats.csv,225,151837281.0,464910931.0,59104.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
xl,512,train_step,nsys,measure@profile,329.7265219502151,717.3985060304403,122.79305113479495,results/nsys/xl_train_step_ctx512_nsys_stats.csv,97,216929843.0,909253401.0,119966.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
xl,1024,train_step,nsys,measure@profile,329.7265219502151,717.3985060304403,122.79305113479495,results/nsys/xl_train_step_ctx1024_nsys_stats.csv,224,553851061.0,1851446541.0,227038.0,attention/scores; attention/softmax; attention/value,benchmark timing reference is same model ctx512 train_step; nsys public csv keeps kernel totals and calls only
