source_stats_file,model_size,context_length,mode,tool,stage_range,top_kernel,top_kernel_calls,top_kernel_time,top_non_matmul_kernel,top_non_matmul_calls,top_non_matmul_time,matmul_time,softmax_time,softmax_to_matmul_ratio
results/nsys/large_train_step_ctx256_nsys_stats.csv,large,256,train_step,nsys,measure@profile,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize256x128x8_stage3_warpsize4x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,217,32869120.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",1993,14172162.0,148916217.0,58976.0,0.0003960347716864175
results/nsys/large_train_step_ctx512_nsys_stats.csv,large,512,train_step,nsys,measure@profile,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_8x4_nt_align1>(T1::Params),108,64568236.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",1993,18057537.0,284889673.0,120639.0,0.00042345866289087987
results/nsys/large_train_step_ctx1024_nsys_stats.csv,large,1024,train_step,nsys,measure@profile,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,181,141592662.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",144,41599595.0,570494699.0,232829.0,0.0004081177273130105
results/nsys/xl_train_step_ctx256_nsys_stats.csv,xl,256,train_step,nsys,measure@profile,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params),225,151837281.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",1773,44244528.0,464910931.0,59104.0,0.00012712972756495587
results/nsys/xl_train_step_ctx512_nsys_stats.csv,xl,512,train_step,nsys,measure@profile,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params),97,216929843.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",1773,50469963.0,909253401.0,119966.0,0.0001319390170749551
results/nsys/xl_train_step_ctx1024_nsys_stats.csv,xl,1024,train_step,nsys,measure@profile,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(T1::Params),224,553851061.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",1773,67115940.0,1851446541.0,227038.0,0.00012262735918768287
