model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,1024,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",313,0.0,0.0,6429.562000000066,6429.562000000066
medium,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: MaxBackward0,25,2166.2099999999773,348.42700000008335,6104.77399999999,0.0
medium,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: MulBackward0,338,15906.609999999884,3446.121999999901,6086.228999999788,0.0
medium,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,219,6830.305000000037,870.9550000000017,5789.855000000083,0.0
medium,1,1024,fp32,torch.profiler,torch::autograd::AccumulateGrad,219,5959.350000000035,1134.138999999952,5789.855000000083,0.0
medium,1,1024,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_nt_align1>(cutlass_80_simt_sgemm_64x64_8x5_nt_align1::Params),96,0.0,0.0,5488.896999999881,5488.896999999881
medium,1,1024,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1})",48,0.0,0.0,5311.139999999947,5311.139999999947
medium,1,1024,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",50,0.0,0.0,5258.405000000019,5258.405000000019
medium,1,1024,fp32,torch.profiler,aten::add,850,12365.872999999878,7874.328999999727,5231.610999999916,5231.610999999916
medium,1,1024,fp32,torch.profiler,attention/value,24,3807.111999999989,1123.31699999997,2433.5999999999913,0.0
