source,status,model_size,batch_size,context_length,dtype,tool,event_count,peak_allocated_mib,peak_reserved_mib,trace_output,table_output,stage,name,record_type,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us,cpu_memory_bytes,cuda_memory_bytes
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,MmBackward0,operator,169,131154.3410000002,1558.8430000017397,132385.02100000036,0.0,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,aten::where,operator,360,10500.985000000266,3104.5899999997937,130889.38100000148,89828.95700000078,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,autograd::engine::evaluate_function: DivBackward0,operator,97,64750.902999999584,1148.4810000004945,105957.82500000024,0.0,-192,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,aten::matmul,operator,217,11733.346999999998,1491.028000000234,104991.26799999998,0.0,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,aten::div,operator,488,54805.79700000058,7566.948999998851,101292.1520000012,101292.1520000012,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,DivBackward0,operator,97,43979.9969999998,959.6419999995269,96095.28700000083,0.0,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,aten::mul,operator,969,48628.655,8468.373999999698,91167.58700000195,91167.58700000195,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,operator,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1})",operator,192,0.0,0.0,89773.66400000078,89773.66400000078,0,0
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,profile/measure,CUDA kernels overlapping CPU range,kernel_overlap,5815,904611.795,,846937.7456054688,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,forward,CUDA kernels overlapping CPU range,kernel_overlap,1973,358928.677,,320763.8259277344,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,attention/scores,CUDA kernels overlapping CPU range,kernel_overlap,24,4549.710000000001,,1714.973388671875,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,attention/softmax,CUDA kernels overlapping CPU range,kernel_overlap,57,17105.913999999997,,16212.01708984375,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,attention/value,CUDA kernels overlapping CPU range,kernel_overlap,21,1517.6600000000003,,455.009033203125,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,loss,CUDA kernels overlapping CPU range,kernel_overlap,2,363.677,,363.068115234375,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,backward,CUDA kernels overlapping CPU range,kernel_overlap,1973,374265.482,,362090.974609375,,,
medium_ctx1024.json,complete,medium,4,1024,fp32,torch.profiler,244,35779.9423828125,37180.0,medium_ctx1024.json.trace,medium_ctx1024.operators.csv,optimizer,CUDA kernels overlapping CPU range,kernel_overlap,1725,168534.531,,162088.2314453125,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,profile/warmup,profile/warmup,cpu_range,1,41.529000000000025,41.529000000000025,0.0,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,profile/measure,profile/measure,cpu_range,1,202639.85199999998,969.4100000000326,53487.69300000026,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,zero_grad,zero_grad,cpu_range,1,480.543,48.47900000000004,0.0,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,forward,forward,cpu_range,1,86339.96399999999,14632.44600000001,34598.607999999615,0.0,192,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,forward,forward,gpu_annotation,1,0.0,0.0,84942.198,84942.198,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/scores,attention/scores,cpu_range,24,4355.329000000007,1795.3690000000079,961.2930000000379,0.0,192,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/scores,attention/scores,gpu_annotation,24,0.0,0.0,1414.9630000000188,1414.9630000000188,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/softmax,attention/softmax,cpu_range,24,16828.730999999992,3746.8500000000804,4817.829999999864,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/softmax,attention/softmax,gpu_annotation,24,0.0,0.0,15392.328,15392.328,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/value,attention/value,cpu_range,24,3493.5220000000045,861.739999999987,763.784999999998,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/value,attention/value,gpu_annotation,24,0.0,0.0,1645.6209999999955,1645.6209999999955,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,loss,loss,cpu_range,1,351.6369999999879,151.6459999999788,124.03399999999965,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,backward,backward,cpu_range,1,93560.65599999999,93535.95899999999,0.864000000001397,0.0,-192,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,loss,loss,gpu_annotation,1,0.0,0.0,128.4499999999971,128.4499999999971,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,backward,backward,gpu_annotation,1,0.0,0.0,0.864000000001397,0.864000000001397,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,optimizer,optimizer,cpu_range,1,20930.899999999994,132.5789999999979,18764.187000000646,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::mm,operator,507,12244.127000000557,8274.024000000201,58632.25499999972,58632.25499999972,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,autograd::engine::evaluate_function: MmBackward0,operator,169,12604.26800000004,1323.8159999999916,35722.92899999973,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,MmBackward0,operator,169,11280.452000000048,1357.7469999996247,35722.92899999973,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,cudaLaunchKernel,operator,6239,29407.49499999997,29407.49499999997,0.0,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::matmul,operator,217,11375.33699999996,1507.5989999998546,24097.276999999995,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,ampere_sgemm_128x64_tn,operator,169,0.0,0.0,22824.78099999998,22824.78099999998,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,Optimizer.step#AdamW.step,operator,1,0.0,0.0,21174.73999999999,21174.73999999999,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),operator,73,0.0,0.0,14203.165000000008,14203.165000000008,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::mul,operator,969,12994.07300000039,8424.194000000538,8534.594999999925,8534.594999999925,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),operator,73,0.0,0.0,11384.915999999983,11384.915999999983,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::item,operator,96,10702.52300000001,162.78999999997177,84.57700000006889,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::_local_scalar_dense,operator,96,10539.733000000038,500.5389999999893,84.57700000006889,84.57700000006889,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::where,operator,360,10223.760999999864,3161.733999999946,4493.710999999889,3010.56199999987,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,autograd::engine::evaluate_function: MulBackward0,operator,289,9749.222999999969,2337.550000000134,5215.935000000158,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,cudaStreamSynchronize,operator,96,9314.183000000008,9314.183000000008,0.0,0.0,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,operator,aten::add_,operator,995,8258.689000000508,4041.7620000000898,9237.887000000395,9237.887000000395,0,0
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,profile/measure,CUDA kernels overlapping CPU range,kernel_overlap,6577,202639.852,,109124.30981445312,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,forward,CUDA kernels overlapping CPU range,kernel_overlap,2015,86339.964,,33157.83447265625,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/scores,CUDA kernels overlapping CPU range,kernel_overlap,48,4355.329,,961.293212890625,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/softmax,CUDA kernels overlapping CPU range,kernel_overlap,648,16828.731,,4817.82373046875,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,attention/value,CUDA kernels overlapping CPU range,kernel_overlap,48,3493.5219999999995,,754.886474609375,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,loss,CUDA kernels overlapping CPU range,kernel_overlap,3,351.637,,348.30908203125,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,backward,CUDA kernels overlapping CPU range,kernel_overlap,2803,93560.656,,56800.884033203125,,,
medium_ctx256.json,complete,medium,4,256,fp32,torch.profiler,240,9079.5439453125,9096.0,medium_ctx256.json.trace,medium_ctx256.operators.csv,optimizer,CUDA kernels overlapping CPU range,kernel_overlap,1746,20930.9,,18271.688232421875,,,
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,profile/warmup,profile/warmup,cpu_range,1,45.26399999999995,45.26399999999995,0.0,0.0,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,profile/measure,profile/measure,cpu_range,1,319475.93,1402.4360000000452,130789.41399999899,0.0,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,zero_grad,zero_grad,cpu_range,1,542.01,50.44499999999999,0.0,0.0,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,forward,forward,cpu_range,1,128485.469,13682.977000000188,108077.18399999985,0.0,192,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,forward,forward,gpu_annotation,1,0.0,0.0,129463.626,129463.626,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/scores,attention/scores,cpu_range,24,4178.76899999997,1692.4290000000337,5046.272999999963,0.0,192,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/scores,attention/scores,gpu_annotation,24,0.0,0.0,5062.56299999999,5062.56299999999,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/softmax,attention/softmax,cpu_range,24,16461.855999999985,3590.792000000115,41012.478000000105,0.0,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/softmax,attention/softmax,gpu_annotation,24,0.0,0.0,41413.475999999995,41413.475999999995,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/value,attention/value,cpu_range,24,3410.176999999978,929.3389999999645,2757.0290000000086,0.0,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,attention/value,attention/value,gpu_annotation,24,0.0,0.0,2772.803999999989,2772.803999999989,0,0
medium_ctx512.json,complete,medium,4,512,fp32,torch.profiler,242,15593.7626953125,15790.0,medium_ctx512.json.trace,medium_ctx512.operators.csv,loss,loss,cpu_range,1,358.8999999999942,127.25399999997171,506.7270000000426,0.0,0,0
