implementation,sequence_length,head_dim,batch_size,dtype,causal,phase,samples,p20_ms,p50_ms,p80_ms,mean_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,status,error_type
eager_explicit,2048,128,1,bf16,true,backward,443,0.2657024025917053,0.29183998703956604,0.319487988948822,0.30116478553878534,55.25,86.0,1.0,complete,
eager_explicit,2048,128,1,bf16,true,forward,589,0.15785600244998932,0.15887999534606934,0.1614783972501755,0.1604233877464547,34.15625,44.0,1.0,complete,
eager_explicit,2048,128,1,bf16,true,forward_backward,191,0.470304012298584,0.4997119903564453,0.5837439894676208,0.5416851090511102,55.25,86.0,1.0,complete,
eager_explicit,2048,64,1,bf16,true,backward,470,0.25804799795150757,0.2672640085220337,0.28564481139183046,0.27574651869053535,53.75,84.0,1.0,complete,
eager_explicit,2048,64,1,bf16,true,forward,500,0.16179199516773224,0.1658399999141693,0.1738688051700592,0.17174803185462953,33.15625,42.0,1.0,complete,
eager_explicit,2048,64,1,bf16,true,forward_backward,261,0.4679679870605469,0.47724801301956177,0.5244160294532776,0.5017390342507783,53.75,84.0,1.0,complete,
eager_explicit,512,128,1,bf16,true,backward,475,0.2536639869213104,0.25804799795150757,0.27532801032066345,0.2699412215697138,19.25,24.0,1.0,complete,
eager_explicit,512,128,1,bf16,true,forward,506,0.16073599457740784,0.16179199516773224,0.16489599645137787,0.16604515350618854,10.1328125,24.0,1.0,complete,
eager_explicit,512,128,1,bf16,true,forward_backward,208,0.47806718945503235,0.4976480007171631,0.556774389743805,0.530495076511915,19.25,24.0,1.0,complete,
eager_explicit,512,64,1,bf16,true,backward,557,0.2539519965648651,0.26214399933815,0.2918655931949615,0.2755382698249988,18.875,24.0,1.0,complete,
eager_explicit,512,64,1,bf16,true,forward,480,0.15837439894676208,0.16289599984884262,0.17203199863433838,0.1694609993758301,9.8828125,22.0,1.0,complete,
eager_explicit,512,64,1,bf16,true,forward_backward,225,0.47419520020484923,0.4853760004043579,0.517203176021576,0.5038452629248301,18.875,24.0,1.0,complete,
eager_explicit,8192,128,1,bf16,true,backward,113,2.5399296283721924,2.559999942779541,2.5937664031982424,2.5725131351335913,604.25,662.0,1.0,complete,
eager_explicit,8192,128,1,bf16,true,forward,153,1.8104575634002686,1.815551996231079,1.829862380027771,1.820579757098279,400.25,406.0,1.0,complete,
eager_explicit,8192,128,1,bf16,true,forward_backward,68,4.244864082336425,4.272480010986328,4.286054515838623,4.272688942797044,604.25,790.0,1.0,complete,
eager_explicit,8192,64,1,bf16,true,backward,113,2.474988842010498,2.5169920921325684,2.5517569065093992,2.521540247233568,598.25,670.0,1.0,complete,
eager_explicit,8192,64,1,bf16,true,forward,154,1.783731174468994,1.796239972114563,1.800096035003662,1.7931066937260813,396.25,410.0,1.0,complete,
eager_explicit,8192,64,1,bf16,true,forward_backward,70,4.177919864654541,4.188159942626953,4.198560047149658,4.191492114748273,598.25,670.0,1.0,complete,
