config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status
medium_ctx1024_b1_blocknone,medium,24,1024,1,bf16_autocast_fp32_params,,false,3,5,"[140.69456234574318,140.46006184071302,140.36307297647,140.51693119108677,140.290598385036]",140.46006184071302,10069.1884765625,10244.0,complete
medium_ctx1024_b1_block1,medium,24,1024,1,bf16_autocast_fp32_params,1,false,3,5,"[202.2726172581315,313.08851577341557,198.73261079192162,202.67920847982168,198.77510238438845]",202.2726172581315,8124.53564453125,8182.0,complete
medium_ctx1024_b1_block2,medium,24,1024,1,bf16_autocast_fp32_params,2,false,3,5,"[189.45568799972534,280.47705814242363,191.80838391184807,189.83712419867516,190.96079841256142]",190.96079841256142,8124.53564453125,8178.0,complete
medium_ctx1024_b1_block4,medium,24,1024,1,bf16_autocast_fp32_params,4,false,3,5,"[184.9969197064638,183.7651040405035,275.40942933410406,184.49032679200172,185.59314589947462]",184.9969197064638,8124.53564453125,8196.0,complete
medium_ctx1024_b1_block8,medium,24,1024,1,bf16_autocast_fp32_params,8,false,3,5,"[182.4029916897416,184.7511474043131,276.1480137705803,183.4725746884942,185.10238081216812]",184.7511474043131,8124.53564453125,8210.0,complete
medium_ctx2048_b1_blocknone,medium,24,2048,1,bf16_autocast_fp32_params,,false,3,5,"[387.48017232865095,387.54681404680014,387.4921966344118,387.5061348080635,387.53107748925686]",387.5061348080635,19668.3876953125,20192.0,complete
medium_ctx2048_b1_block1,medium,24,2048,1,bf16_autocast_fp32_params,1,false,3,5,"[493.97248681634665,576.7697524279356,493.54403745383024,493.47464460879564,493.6878038570285]",493.6878038570285,8152.80126953125,9450.0,complete
